Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
L_LED423,-21.6388,32.6312,BottomLayer,-90
L_LED424,-26.6388,32.6312,BottomLayer,-90
L_LED425,-31.6388,32.6312,BottomLayer,-90
L_LED426,-36.6388,32.6312,BottomLayer,-90
L_LED427,-41.6388,32.6312,BottomLayer,-90
L_LED428,-46.6388,32.6312,BottomLayer,-90
L_LED429,-51.6388,32.6312,BottomLayer,-90
L_LED430,-56.6388,32.6312,BottomLayer,-90
L_LED431,-61.6388,32.6312,BottomLayer,-90
L_LED432,-66.6388,32.6312,BottomLayer,-90
L_LED433,-71.6388,32.6312,BottomLayer,-90
L_LED434,-76.6388,32.6312,BottomLayer,-90
L_LED435,-76.6312,37.6388,BottomLayer,90
L_LED436,-71.6312,37.6388,BottomLayer,90
L_LED437,-66.6312,37.6388,BottomLayer,90
L_LED438,-61.6312,37.6388,BottomLayer,90
L_LED439,-56.6312,37.6388,BottomLayer,90
L_LED440,-51.6312,37.6388,BottomLayer,90
L_LED441,-46.6312,37.6388,BottomLayer,90
L_LED442,-41.6312,37.6388,BottomLayer,90
L_LED443,-36.6312,37.6388,BottomLayer,90
L_LED444,-31.6312,37.6388,BottomLayer,90
L_LED445,-26.6312,37.6388,BottomLayer,90
L_LED446,-21.6312,37.6388,BottomLayer,90
L_LED447,-16.6312,37.6388,BottomLayer,90
L_LED448,-11.6312,37.6388,BottomLayer,90
L_LED449,-6.6312,37.6388,BottomLayer,90
L_LED450,-6.6388,42.6312,BottomLayer,-90
L_LED451,-11.6388,42.6312,BottomLayer,-90
L_LED452,-16.6388,42.6312,BottomLayer,-90
L_LED453,-21.6388,42.6312,BottomLayer,-90
L_LED454,-26.6388,42.6312,BottomLayer,-90
L_LED455,-31.6388,42.6312,BottomLayer,-90
L_LED456,-36.6388,42.6312,BottomLayer,-90
L_LED457,-41.6388,42.6312,BottomLayer,-90
L_LED458,-46.6388,42.6312,BottomLayer,-90
L_LED459,-51.6388,42.6312,BottomLayer,-90
L_LED460,-56.6388,42.6312,BottomLayer,-90
L_LED461,-61.6388,42.6312,BottomLayer,-90
