Designator,Mid X,Mid Y,Layer,Rotation
LED97,184.6312,63.6388,Top,180
LED98,179.6312,63.6388,Top,180
LED99,174.6312,63.6388,Top,180
LED100,169.6312,63.6388,Top,180
LED101,164.6312,63.6388,Top,180
LED102,159.6312,63.6388,Top,180
LED103,154.6312,63.6388,Top,180
LED104,149.6312,63.6388,Top,180
LED105,144.6312,63.6388,Top,180
LED106,139.6312,63.6388,Top,180
LED107,134.6312,63.6388,Top,180
LED108,129.6312,63.6388,Top,180
LED109,124.6312,63.6388,Top,180
LED110,124.6388,68.6312,Top,0
LED111,129.6388,68.6312,Top,0
LED112,134.6388,68.6312,Top,0
LED113,139.6388,68.6312,Top,0
LED114,144.6388,68.6312,Top,0
LED115,149.6388,68.6312,Top,0
LED116,154.6388,68.6312,Top,0
LED117,159.6388,68.6312,Top,0
LED118,164.6388,68.6312,Top,0
LED119,169.6388,68.6312,Top,0
LED120,174.6388,68.6312,Top,0
LED121,179.6388,68.6312,Top,0
LED122,184.6388,68.6312,Top,0
LED123,189.6388,68.6312,Top,0
LED124,194.6388,68.6312,Top,0
LED125,199.6388,68.6312,Top,0
LED126,199.6312,73.6388,Top,180
LED127,194.6312,73.6388,Top,180
LED128,189.6312,73.6388,Top,180
LED129,184.6312,73.6388,Top,180
LED130,179.6312,73.6388,Top,180
LED131,174.6312,73.6388,Top,180
LED132,169.6312,73.6388,Top,180
LED133,164.6312,73.6388,Top,180
LED134,159.6312,73.6388,Top,180
LED135,154.6312,73.6388,Top,180
LED136,149.6312,73.6388,Top,180
LED137,144.6312,73.6388,Top,180
LED138,139.6312,73.6388,Top,180
LED139,134.6312,73.6388,Top,180
LED140,129.6312,73.6388,Top,180
LED141,124.6312,73.6388,Top,180
LED142,124.6388,78.6312,Top,0
LED143,129.6388,78.6312,Top,0
LED144,134.6388,78.6312,Top,0
LED145,139.6388,78.6312,Top,0
LED146,144.6388,78.6312,Top,0
